time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-12-16T07:05:46.895Z,0,0,0,0,0,0,0,0
2025-12-16T07:06:46.893Z,0,0,0,0,0,0,0,0
2025-12-16T07:08:49.212Z,0,0,0,0,0,0,0,0
2025-12-16T07:09:49.211Z,0,0,0,0,0,0,0,0
2025-12-16T07:10:49.213Z,0,0,0,0,0,0,0,0
2025-12-16T07:11:49.213Z,0,0,0,0,0,0,0,0
2025-12-16T07:12:49.214Z,0,0,0,0,0,0,0,0
2025-12-16T07:13:49.214Z,0,0,0,0,0,0,0,0
2025-12-16T07:14:49.215Z,0,0,0,0,0,0,0,0
2025-12-16T07:15:49.215Z,0,0,0,0,0,0,0,0
2025-12-16T07:16:49.217Z,0,0,0,0,0,0,0,0
2025-12-16T07:17:49.219Z,0,0,0,0,0,0,0,0
2025-12-16T07:18:49.218Z,0,0,0,0,0,0,0,0
2025-12-16T07:19:49.221Z,0,0,0,0,0,0,0,0
2025-12-16T07:20:49.222Z,0,0,0,0,0,0,0,0
2025-12-16T07:21:49.222Z,0,0,0,0,0,0,0,0
2025-12-16T07:22:49.224Z,0,0,0,0,0,0,0,0
2025-12-16T07:23:49.225Z,0,0,0,0,0,0,0,0
2025-12-16T07:24:49.226Z,0,0,0,0,0,0,0,0
2025-12-16T07:25:49.226Z,0,0,0,0,0,0,0,0
